partition,bvid,text,pred_label,pred_raw_label,model_confidence,prob_positive,prob_neutral,prob_negative,lexicon_score,pos_cnt,neg_cnt,manual_override,manual_label
学习区,BV1Kr4y1i7ru,双体软件精英产业学院打卡！！！,正面,正面,0.5998991312687266,0.5998991312687266,0.3887011969904762,0.011399671740797104,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,鲜衣怒码少年郎23/8/20打卡！！,正面,正面,0.5430897849198707,0.5430897849198707,0.42834171303180324,0.02856850204832609,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,从入门到入土,正面,中性,0.6429257895567011,0.1879015128004877,0.6429257895567011,0.1691726976428113,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,孙悟空孙悟空孙悟空孙悟空孙悟空,正面,中性,0.4641064784913729,0.3337137281740767,0.4641064784913729,0.20217979333455036,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,54个好兄弟,正面,正面,0.5196575705580538,0.5196575705580538,0.37569965436383573,0.10464277507811051,1.0,1,0,True,1.0
学习区,BV1Kr4y1i7ru,前面那个声音像孙悟空的笑死了,正面,正面,0.4755524826899188,0.4755524826899188,0.11310486796196108,0.41134264934812,1.0,1,0,False,
学习区,BV1Kr4y1i7ru,本人发现资料中没有md格式笔记，就在CSDN上总结了一些笔记，希望可以帮到大家！（博主：Purse Wind）❀,正面,正面,0.8418619238739178,0.8418619238739178,0.02236874372667516,0.13576933239940703,2.0,2,0,True,1.0
学习区,BV1Kr4y1i7ru,112个兄弟暑假卷,正面,中性,0.5697014519929453,0.2545368835420037,0.5697014519929453,0.175761664465051,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,越听越像孙悟空,正面,中性,0.45213920449682854,0.35256417101737436,0.45213920449682854,0.19529662448579715,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,从删库到跑路,正面,中性,0.6172444154484836,0.20354022971928606,0.6172444154484836,0.17921535483223033,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,猴哥,正面,中性,0.5913338685142319,0.28921992485325176,0.5913338685142319,0.11944620663251634,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,孙悟空！,正面,正面,0.5138627952575096,0.5138627952575096,0.41392141986867687,0.07221578487381354,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,从入门到放弃,正面,中性,0.6429257895567011,0.1879015128004877,0.6429257895567011,0.1691726976428113,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,2025年08月26日 14：53还有100人呢。。,正面,中性,0.7286746678052471,0.14101208748275157,0.7286746678052471,0.13031324471200126,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,山西工程科技职业大学前来报到,正面,中性,0.674708869227833,0.19918943100140496,0.674708869227833,0.12610169977076202,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,南京邮电大学陈渠川打卡，一天一集，感动自己,正面,正面,0.6227803860634666,0.6227803860634666,0.18358028178897878,0.19363933214755455,2.0,2,0,True,1.0
学习区,BV1Kr4y1i7ru,江苏科技大学邱梓涵实名开卷,正面,中性,0.6618140113733042,0.18719343325396065,0.6618140113733042,0.1509925553727351,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,59个人啊哈哈哈,正面,正面,0.9367806904436492,0.9367806904436492,0.042806526560694315,0.020412782995656416,3.0,3,0,True,1.0
学习区,BV1Kr4y1i7ru,"实话实说,老师这句没吹牛,后面听了很多,讲的真好",正面,正面,0.8458964746356882,0.8458964746356882,0.048352338253175406,0.10575118711113647,2.4,2,0,True,1.0
学习区,BV1Kr4y1i7ru,立马上岗的笑死我了,正面,正面,0.3799923414295694,0.3799923414295694,0.31055618054560674,0.30945147802482387,1.0,1,0,False,
学习区,BV1Kr4y1i7ru,96位同学们，你们晚上好啊,正面,正面,0.5910569800740655,0.5910569800740655,0.15045762353751554,0.25848539638841905,1.0,1,0,True,1.0
学习区,BV1Kr4y1i7ru,百万ppt,正面,中性,0.6259817540606079,0.21590190551643834,0.6259817540606079,0.1581163404229538,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷,正面,正面,0.7581586732382101,0.7581586732382101,0.00023207093660408337,0.2416092558251858,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,hnmz小朱计划10天学完，从删库到跑路，隔壁Java还有一百多集,正面,正面,0.39428107939100215,0.39428107939100215,0.31762388251696766,0.28809503809203024,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,全网最牛逼的mysql课,正面,负面,0.7504373707935635,0.17309473765406466,0.07646789155237176,0.7504373707935635,1.0,1,0,True,1.0
学习区,BV1Kr4y1i7ru,一句猴哥笑死我，果然网友从不让我失望,正面,正面,0.48535667495689067,0.48535667495689067,0.3583203896934696,0.15632293534963973,-1.0,1,2,True,1.0
学习区,BV1Kr4y1i7ru,高级炊事员,正面,正面,0.41996588715081395,0.41996588715081395,0.21034501218273263,0.3696891006664534,2.0,2,0,True,1.0
学习区,BV1Kr4y1i7ru,老师怎么像是在说相声,正面,中性,0.4898265775923865,0.3643378026408145,0.4898265775923865,0.14583561976679887,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,猴哥猴哥,正面,中性,0.5634639799223006,0.310946215107766,0.5634639799223006,0.12558980496993344,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,北大青鸟的兄弟们辛苦了,正面,正面,0.6015155002280643,0.6015155002280643,0.26153186173154314,0.13695263804039265,1.0,1,0,True,1.0
学习区,BV1Kr4y1i7ru,今日打卡26.4.9，二十天学完！！！！,正面,正面,0.8987007821833624,0.8987007821833624,0.09661224808953474,0.004686969727102827,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,感觉这个比学算法简单,正面,正面,0.6195095574628189,0.6195095574628189,0.2601723096439346,0.12031813289324654,2.0,2,0,True,1.0
学习区,BV1Kr4y1i7ru,博文老家伙来打卡啦！博文老家伙来打卡啦！博文老家伙来打卡啦！,正面,正面,0.901779687838587,0.901779687838587,0.08982047745569742,0.008399834705715583,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,今天就学到这了,正面,中性,0.6838553547855428,0.18611357166063713,0.6838553547855428,0.13003107355381996,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,阿哈哈哈哈，这一段宣传片，每听到一段词我都能想到我好像在哪听过。。。。。,正面,正面,0.6748581317100373,0.6748581317100373,0.05855469795619425,0.26658717033376855,2.0,2,0,True,1.0
学习区,BV1Kr4y1i7ru,目前几个人看,正面,中性,0.6385794663150076,0.19887979291929878,0.6385794663150076,0.16254074076569355,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,阿玮！,正面,中性,0.5791343151384215,0.33204441040258886,0.5791343151384215,0.0888212744589897,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,"睡莲站我,mysql数据库,熟练使用精通数据库的应用,优化方式,问到数据库参建的,盖帘,存储迎请,分库分表,ji",正面,正面,0.5232365383130732,0.5232365383130732,0.07824320969118809,0.39852025199573876,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,老师讲的听不懂，还是b站大学牛壁,正面,正面,0.3676352620592477,0.3676352620592477,0.26665790638360176,0.3657068315571506,-2.0,0,2,True,1.0
学习区,BV1Kr4y1i7ru,黑马：悟空,正面,正面,0.4875439463653522,0.4875439463653522,0.4173691516089294,0.09508690202571841,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,黑马确实很精品,正面,正面,0.5251968973537605,0.5251968973537605,0.41214964297191975,0.06265345967431975,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,猴哥说数据库哈哈哈哈,正面,正面,0.9055739137630069,0.9055739137630069,0.07028800903713034,0.024138077199862877,2.0,2,0,True,1.0
学习区,BV1Kr4y1i7ru,期待住了：学完我就是天选之子！,正面,正面,0.48688620703592794,0.48688620703592794,0.41809764706594843,0.09501614589812364,0.0,0,0,True,1.0
学习区,BV1Kr4y1i7ru,2024年02月21日19:19，饭饭开始学习mysql数据库，冲鸭！！！,正面,正面,0.9338359429909701,0.9338359429909701,0.04748254660986038,0.018681510399169505,1.0,1,0,False,
