partition,bvid,text,pred_label,pred_raw_label,model_confidence,prob_positive,prob_neutral,prob_negative,lexicon_score,pos_cnt,neg_cnt
学习区,BV1Kr4y1i7ru,双体软件精英产业学院打卡！！！,正面,正面,0.9653642072482665,0.9653642072482665,0.029839392116590167,0.004796400635143159,0.0,0,0
学习区,BV1Kr4y1i7ru,鲜衣怒码少年郎23/8/20打卡！！,正面,正面,0.871556371533527,0.871556371533527,0.10894891067271303,0.01949471779375994,0.0,0,0
学习区,BV1Kr4y1i7ru,从入门到入土,正面,中性,0.6147394941095257,0.2533924981934205,0.6147394941095257,0.13186800769705376,0.0,0,0
学习区,BV1Kr4y1i7ru,先把饼画起来,正面,中性,0.6048964678139966,0.2262908570345222,0.6048964678139966,0.1688126751514811,0.0,0,0
学习区,BV1Kr4y1i7ru,强者发型,正面,中性,0.7086265073342264,0.14895664266140365,0.7086265073342264,0.14241685000437002,0.0,0,0
学习区,BV1Kr4y1i7ru,"数据并不是页面写死,数据库中的这些网站,数据取出来,加入对应的业务逻辑",正面,正面,0.4466008665487722,0.4466008665487722,0.31460124743987083,0.23879788601135707,0.0,0,0
学习区,BV1Kr4y1i7ru,北大学生前来报到,正面,中性,0.6606362617365009,0.2025342283969491,0.6606362617365009,0.13682950986655015,0.0,0,0
学习区,BV1Kr4y1i7ru,孙悟空孙悟空孙悟空孙悟空孙悟空,正面,中性,0.5559565115993523,0.2515633932911168,0.5559565115993523,0.19248009510953085,0.0,0,0
学习区,BV1Kr4y1i7ru,杨藉智到此一游,正面,中性,0.6764030088516947,0.16796139606014787,0.6764030088516947,0.15563559508815747,0.0,0,0
学习区,BV1Kr4y1i7ru,狗锋打卡,正面,中性,0.6105644221875401,0.24780734881407013,0.6105644221875401,0.14162822899838984,0.0,0,0
学习区,BV1Kr4y1i7ru,会计来卷了,正面,中性,0.6347386881395625,0.2036741464610216,0.6347386881395625,0.1615871653994159,0.0,0,0
学习区,BV1Kr4y1i7ru,小加打卡,正面,中性,0.6105644221875401,0.24780734881407013,0.6105644221875401,0.14162822899838984,0.0,0,0
学习区,BV1Kr4y1i7ru,54个好兄弟,正面,中性,0.6306718804848406,0.2342634850542262,0.6306718804848406,0.13506463446093336,1.0,1,0
学习区,BV1Kr4y1i7ru,下羽了喵打卡,正面,中性,0.5442336421810581,0.29543652636153706,0.5442336421810581,0.16032983145740498,0.0,0,0
